id,nameKo,nameEn,categoryTags,stageTags,description,icon,isActive
barbell curl,바벨 컬,Barbell Curl,biceps,main,,BI,true
barbell_row,바벨 로우,Barbell Row,back,main,,BK,true
barbell_squat,바벨 스쿼트,Barbell Squat,legs,main,,LG,true
bench_press,벤치프레스,Bench Press,chest|triceps,main,,CH,true
cable_cross_over,케이블 크로스 오버,Cable Cross Over,chest,main,"high, medium, low",CH,true
cable_pushdown,케이블 푸시다운,Cable Pushdown,triceps,main,,TR,true
calf_raise,카프 레이즈,Calf Raise,legs,main,,LG,true
chest_press,체스트 프레스,Chest Press,chest|triceps,main,,CH,true
concent_curl,컨센트레이션 컬,Concentration Curl,biceps,main,,BI,true
dead_lift,데드리프트,Deadlift,back,main,,BK,true
dips,딥스,Dips,chest|shoulder,main,,CH,true
dumbbell_curl,덤벨 컬,Dumbbell Curl,biceps,main,,BI,true
dumbbell_row,덤벨 로우,Dumbbell Row,back,main,one arm dumbbell row,BK,true
dumbell_fly,덤벨 플라이,Dumbell Fly,chest,main,,CH,true
dumbell_press,덤벨 프레스,Dumbell Press,chest,main,,CH,true
face_pull,페이스 풀,Face Pull,back,main,,BK,true
front_raise,프런트 레이즈,Front Raise,shoulder,main,,SH,true
hack_squat,헥 스쿼트,Hack Squat,legs,main,,LG,true
hammer_curl,해머 컬,Hammer Curl,biceps,main,,BI,true
hip_abduction,힙 어브덕션,Hip Abduction,legs,main,,LG,true
hip_adduction,힙 어덕션,Hip Adduction,legs,main,,LG,true
incline_bench_press,인클라인 벤치프레스,Incline Bench Press,chest,main,,CH,true
indoor_bike,실내 자전거,Indoor Bike,cardio,warmup,,CA,true
joint_mobility,관절 가동성,Joint Mobility,mobility,warmup|cooldown,,MO,true
lat_pulldown,랫풀다운,Lat Pulldown,back,main,,BK,true
leg_curl,레그 컬,Leg Curl,legs,main,,LG,true
leg_extension,레그 익스텐션,Leg Extension,legs,main,,LG,true
leg_press,레그 프레스,Leg Press,legs,main,,LG,true
lunge,런지,Lunge,legs|bodyweight,main|warmup,,LG,true
lying_triceps_extension,라잉 트라이셉스 익스텐션,Lying Triceps Extension,triceps,main,,TR,true
mcahine_row,머신 로우,Machine Row,back,main,,BK,true
outdoor_running,야외 러닝,Outdoor Running,cardio,main,,CA,true
overhead_extension,오버헤드 익스텐션,Overhead Extension,triceps,main,,TR,true
pec_deck_fly,펙덱 플라이,Pec Deck Fly,chest,main,,CH,true
preacher_curl,프리처 컬,Preacher Curl,biceps,main,,BI,true
pull_up,풀업,Pull-up,back|bodyweight,main,,BK,true
push_up,푸시업,Push-up,bodyweight|chest|triceps,warmup|main,"준비운동, 맨손 가슴 운동, 마무리 운동으로 사용할 수 있습니다.",BW,true
romanian_deadlift,루마니안 데드리프트,Romanian Deadlift,legs,main,,LG,true
seated_cable_draw,시티드 케이블 로우,Seated Cable Row,back,main,,BK,true
seated_cable_row,시티드 케이블 로우,Seated Cable Row,back,main,,BK,true
seated_dumbbell_press,시티드 덤벨 프레스,Seated Dumbbell Press,shoulder,main,,SH,true
shoulder_press,숄더 프레스,Shoulder Press,shoulder,main,,SH,true
side_lateral_raise,사이드 레터럴 레이즈,Side Lateral Raise,shoulder,main,,SH,true
squat,스쿼트,Squat,legs|bodyweight,main|warmup,"narrow, wide, side",LG,true
stepmill,스텝밀,Stepmill,cardio|legs,main,,CA,true
stretching,스트레칭,Stretching,mobility,warmup|cooldown,,MO,true
treadmill,트레드밀,Treadmill,cardio,warmup|main,,CA,true
upright_row,업라이트 로우,Upright Row,shoulder,main,,SH,true